"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Bookmark/Kanga Zody Bm1103a","6/9/2010","16:37:28","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Postcards/Classic/Geelong/3 1403094","31/10/2013","2:48:25","UNITED KINGDOM",22,0.77,"International","Shop Sales",54,-2
"Card - Xmas Quilt","29/9/2006","16:22:43","GERMANY",7,1.95,"International","Shop Sales",51,9
"Scarf - Nullarbor Long","7/12/2013","11:15:04","UNITED STATES",23,50,"International","Shop Sales",38,-97
"Cookie Jar Gel  - Koala","26/5/2008","13:25:02","UNITED STATES",23,2.5,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","14/2/2011","12:21:16","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Postcard/G'day From Down Under","26/2/2013","1:13:37","GERMANY",7,0.59,"International","Shop Sales",51,9
"Wrap/Kid Mohair/Natural","15/2/2015","2:49:50","UNITED KINGDOM",22,99.09,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","18/1/2007","14:10:58","UNITED STATES",23,5.9,"International","Ticket Sales",38,-97
"%Nwm - Family Adm(2+3)","9/7/2012","3:50:52","UNITED STATES",23,25,"International","Ticket Sales",38,-97
"Postcards/Eastern Beach/11ge003/Dno","23/12/2014","10:14:10","GERMANY",7,0.59,"International","Shop Sales",51,9
"Soap - Woolly Wunder Wash","2/1/2013","12:09:19","ITALY",10,9.95,"International","Shop Sales",42.8333,12.8333
"%Nwm - Adult Admit","13/3/2010","13:40:43","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Postcard - Nwm Manor Rug","9/3/2010","14:55:34","CHINA",4,0.91,"International","Shop Sales",35,105
"Boomerang Carded/Contemporary","26/3/2012","11:09:24","ITALY",10,58,"International","Shop Sales",42.8333,12.8333
"Pencil Motives Sheep Zodys","4/7/2009","10:16:56","TAIWAN",21,4.95,"International","Shop Sales",23.5,121
"T-Shirt/Wattle/S","16/4/2010","10:59:10","OTHER INTERNATIONAL",25,39.95,"International","Shop Sales",NA,NA
"Postcard/Yarra St Wharf","19/10/2012","11:17:09","UNITED KINGDOM",22,1.36,"International","Shop Sales",54,-2
"Postcards/Geelong Marina/11ge002","5/4/2008","16:28:06","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Postcards - Geelong Aerial/11ge004","19/12/2007","12:58:10","NEW ZEALAND",15,0.65,"International","Shop Sales",-41,174
"Postcards - Bollards Rippleside Swim Clu","29/9/2010","15:35:09","NETHERLANDS",13,1.36,"International","Shop Sales",52.5,5.75
"%Nwm - Adult Admit","2/3/2012","3:29:00","GERMANY",7,7.5,"International","Ticket Sales",51,9
"Cards/#19 Red Roo & Joey","18/2/2011","9:57:14","GERMANY",7,3.59,"International","Shop Sales",51,9
"Scarf - Nullarbor Long","28/8/2006","12:27:08","SPAIN",19,55,"International","Shop Sales",40,-4
"Pin Clutch/Merino Ram Gold  A552","10/1/2015","12:13:59","UNITED STATES",23,10.77,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","17/12/2005","10:31:58","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Jumper - Vee/Navy","20/1/2006","11:22:47","GERMANY",7,110,"International","Shop Sales",51,9
"Magnet/Beanz/Echidna","5/10/2005","16:25:27","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"Soap - Lanolin/Ags","6/3/2007","15:13:22","OTHER INTERNATIONAL",25,15.8,"International","Shop Sales",NA,NA
"Postcards - Gor/Koala 11go160/Dno","30/1/2006","15:21:38","SWITZERLAND",20,0.65,"International","Shop Sales",47,8
"%Nwm - Adult Admit","23/12/2009","15:00:34","CANADA",3,7.3,"International","Ticket Sales",60,-95
"Keyring - Nwm Round Metal","28/4/2006","10:38:58","OTHER INTERNATIONAL",25,2.95,"International","Shop Sales",NA,NA
"Soap - Sheeps Milk","2/1/2013","1:29:13","GERMANY",7,14.45,"International","Shop Sales",51,9
"Magnet/Beanz/Kookaburra","5/10/2012","11:03:41","CHINA",4,5.41,"International","Shop Sales",35,105
"Face Washer - Red Back Spider (Lp)","22/11/2011","3:11:02","JAPAN",11,7.23,"International","Shop Sales",36,138
"Tray/Scatter/Kanga/Sctr","20/4/2009","11:57:14","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","20/3/2009","9:34:59","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","24/1/2011","11:48:38","CANADA",3,7.3,"International","Ticket Sales",60,-95
"Postcard - Nrth/Carousel 1-10034","27/9/2010","10:47:12","SWITZERLAND",20,0.86,"International","Shop Sales",47,8
"Scarf/ Fb1413","25/7/2011","17:05:37","SWITZERLAND",20,54.5,"International","Shop Sales",47,8
"Magnet/Boomerang Dot (B/Brush)","27/1/2010","11:22:47","ITALY",10,3.59,"International","Shop Sales",42.8333,12.8333
"Postcards Apostles/Ab","26/2/2008","16:18:30","UNITED KINGDOM",22,0.75,"International","Shop Sales",54,-2
"Scarf - Black/Green 70/4 (Cons)","31/7/2005","16:56:13","JAPAN",11,89.95,"International","Shop Sales",36,138
"Cloth Badge/Australia Flag","24/3/2014","12:53:18","AUSTRIA",2,7.23,"International","Shop Sales",47.3333,13.3333
"Cloth Badge/Australia Flag","7/6/2005","10:23:43","UNITED STATES",23,5.95,"International","Shop Sales",38,-97
"Lanolin Creme/Tube (H/W)","5/2/2006","16:52:52","JAPAN",11,8.5,"International","Shop Sales",36,138
"Tea Towel/2 Pk/Embroidered/Koala","7/5/2015","3:16:51","UNITED STATES",23,13.59,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","31/12/2008","9:44:16","FRANCE",6,7.3,"International","Ticket Sales",46,2
"Bookmark - Sheep And Cornflower","10/9/2007","12:18:55","UNITED STATES",23,1.95,"International","Shop Sales",38,-97
