"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Bay Walk Bollards/Guide Book","30/12/2008","10:48:29","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Tea Towel Sheep Coloured Tt-005sh","14/8/2006","14:37:16","JAPAN",11,7.95,"International","Shop Sales",36,138
"Magnet - Glg Bollards/Carousel 4063802","27/4/2009","12:36:49","OTHER INTERNATIONAL",25,4.95,"International","Shop Sales",NA,NA
"Scarf/Cable/Blk/2082","16/2/2009","15:47:02","JAPAN",11,59.95,"International","Shop Sales",36,138
"Gift Card - Whimsies/Gum Blossom","5/4/2013","1:07:00","UNITED KINGDOM",22,1.14,"International","Shop Sales",54,-2
"Postcards/Gor/Montage/Go158","12/8/2014","3:32:52","GERMANY",7,0.59,"International","Shop Sales",51,9
"Postcard - Nwm Manor Rug","1/2/2013","5:10:10","UNITED STATES",23,0.91,"International","Shop Sales",38,-97
"Wild Guide Deadly","23/1/2014","1:14:24","UNITED STATES",23,13.59,"International","Shop Sales",38,-97
"Tray/Scatter/Kookaburras/89092","31/5/2013","2:19:25","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","22/12/2010","12:09:54","GERMANY",7,5.9,"International","Ticket Sales",51,9
"%Nwm - Adult Admit","9/4/2012","2:41:24","TAIWAN",21,22.5,"International","Ticket Sales",23.5,121
"Tea Towel Wombat/Cup","8/10/2014","12:58:59","UNITED STATES",23,8.14,"International","Shop Sales",38,-97
"Soap-Blu Wren 100gm","19/2/2007","12:08:27","OTHER INTERNATIONAL",25,3.75,"International","Shop Sales",NA,NA
"Apple - Wood Med (Birdies)","15/1/2006","12:33:28","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"Sheep - Loopy Loopy Small","18/10/2010","13:28:38","CANADA",3,16.32,"International","Shop Sales",60,-95
"%Nwm & Fdc - Adult","17/2/2012","1:53:37","CANADA",3,13,"International","Ticket Sales",60,-95
"Tea Towel - Muster Time","15/10/2006","10:32:18","JAPAN",11,10.95,"International","Shop Sales",36,138
"%Nwm - Adult Admit","21/10/2014","3:23:28","SINGAPORE",17,8.25,"International","Ticket Sales",1.3667,103.8
"Koala/Koa11/Fl/Bm/Sw","26/11/2014","12:41:17","HONG KONG",8,3.59,"International","Shop Sales",22.25,114.1667
"%Nwm - Adult Admit","14/1/2015","11:03:06","SINGAPORE",17,8.25,"International","Ticket Sales",1.3667,103.8
"%Nwm - Adult Admit","4/2/2011","15:34:07","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Family Child - NWM Only","15/11/2008","9:36:34","UNITED STATES",23,0,"International","Shop Sales",38,-97
"Scarf/Woven Mohair/Std (Boxed) Cons","2/5/2006","16:52:16","GERMANY",7,79.95,"International","Shop Sales",51,9
"Handy Atlas Australia","17/2/2011","11:39:15","CANADA",3,13.59,"International","Shop Sales",60,-95
"Ram - Romney 25cm With Baa","7/4/2013","4:30:40","OTHER INTERNATIONAL",25,54.5,"International","Shop Sales",NA,NA
"Pendant - Opal Op200244","21/5/2010","10:04:34","TAIWAN",21,54.5,"International","Shop Sales",23.5,121
"Xmas/Clo/Kanga T","13/12/2013","2:14:03","UNITED KINGDOM",22,18.14,"International","Shop Sales",54,-2
"Postcard - Nrth/Carousel 1-10034","1/10/2010","15:14:26","OTHER INTERNATIONAL",25,0.86,"International","Shop Sales",NA,NA
"Bookmark/Aussie Die Cut Assorted","21/12/2013","2:19:42","UNITED STATES",23,5.91,"International","Shop Sales",38,-97
"Bookmark/Kangaroo/Pettis","26/3/2006","14:46:19","UNITED KINGDOM",22,1.95,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","16/4/2012","2:09:40","UNITED KINGDOM",22,6,"International","Ticket Sales",54,-2
"Backpack - Koala 16"" /60680","4/4/2009","9:50:05","UNITED KINGDOM",22,29.95,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","26/6/2006","13:04:21","ALAWA - NT",810,7.3,"International","Ticket Sales",NA,NA
"Keyring - 4 Pack Leather/Kr-4l","11/4/2007","13:14:25","UNITED KINGDOM",22,11.5,"International","Shop Sales",54,-2
"Postcard/Mathew Flinders","29/10/2014","1:19:34","JAPAN",11,1.14,"International","Shop Sales",36,138
"Glove/Std/Red/L","24/4/2015","2:02:28","UNITED KINGDOM",22,31.82,"International","Shop Sales",54,-2
"Magnet/Platypus (B/Brush)","23/3/2013","11:00:42","UNITED KINGDOM",22,7.23,"International","Shop Sales",54,-2
"Mug/Pink Heath/15683","29/7/2013","3:21:15","UNITED STATES",23,9.05,"International","Shop Sales",38,-97
"Print/Framed Aboriginal 25 X 25 Med","13/1/2012","4:50:36","OTHER INTERNATIONAL",25,45.41,"International","Shop Sales",NA,NA
"Bookmark/Koala/Pettis","22/11/2005","14:58:51","UNITED KINGDOM",22,1.95,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","3/9/2006","16:02:12","SINGAPORE",17,21.9,"International","Ticket Sales",1.3667,103.8
"Handtowel - Embroidered","3/11/2009","11:50:30","CANADA",3,15.41,"International","Shop Sales",60,-95
"Vest Fleecy/Waratah/Xl","28/5/2013","4:18:42","UNITED STATES",23,54.5,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","18/9/2006","9:29:34","GERMANY",7,14.6,"International","Ticket Sales",51,9
"%Nwm - Concess Admit","28/3/2007","10:54:01","OTHER INTERNATIONAL",25,5.9,"International","Ticket Sales",NA,NA
"Postcards - Bollards Bathing Beauties","27/10/2006","14:24:40","UNITED STATES",23,1.5,"International","Shop Sales",38,-97
"Gift Wrap Pack/Pettis","27/8/2009","13:11:33","ALICE SPRINGS PRIVATE BOXES - NT",871,7.95,"International","Shop Sales",NA,NA
"Magnet- Gecko","4/4/2011","12:37:41","GERMANY",7,7.18,"International","Shop Sales",51,9
"%Nwm - Concess Admit","16/9/2007","13:04:01","TAIWAN",21,5.9,"International","Ticket Sales",23.5,121
"Postcard - Nwm ""little Off Sides Mate""","23/12/2014","1:14:29","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Sock - Bellv Lds Bvl359","8/3/2007","12:35:56","UNITED KINGDOM",22,8.5,"International","Shop Sales",54,-2
"Postcards Apostles/Abs","16/7/2010","11:13:31","SPAIN",19,0.59,"International","Shop Sales",40,-4
"%Nwm & Fdc - Adult","21/11/2011","9:44:29","UNITED STATES",23,13,"International","Ticket Sales",38,-97
"Keyring - Sheep Small 60312-K","26/11/2011","4:41:39","JAPAN",11,3,"International","Shop Sales",36,138
"Calendar -  Gor 2011","15/11/2010","15:09:17","CHINA",4,29.95,"International","Shop Sales",35,105
"%Nwm - Adult Admit","24/2/2014","9:35:03","AUSTRIA",2,15,"International","Ticket Sales",47.3333,13.3333
"%Nwm - Concess Admit","13/12/2012","11:30:43","UNITED KINGDOM",22,12,"International","Ticket Sales",54,-2
"%Nwm - Family Adm(2+3)","11/1/2015","2:38:08","NEW ZEALAND",15,25,"International","Ticket Sales",-41,174
"Postcard/Australia Kanga170","12/2/2010","15:00:10","FRANCE",6,0.59,"International","Shop Sales",46,2
"%Nwm - Child Admit","17/10/2011","9:53:15","UNITED STATES",23,4,"International","Ticket Sales",38,-97
"Face Washer & Soap","22/5/2006","17:05:37","UNITED KINGDOM",22,19.95,"International","Shop Sales",54,-2
"Socks-Nwm - Mens Dk Navy","5/1/2006","12:23:01","JAPAN",11,9.95,"International","Shop Sales",36,138
"Postcard - Corio Bay Nth 1-10023","18/3/2006","10:34:45","CHINA",4,0.95,"International","Shop Sales",35,105
"%Nwm - Adult Admit","20/11/2014","10:29:07","SWITZERLAND",20,8.25,"International","Ticket Sales",47,8
"Koala/Koa11/Fl/Bm/Sw","21/11/2012","1:05:05","NETHERLANDS",13,4.5,"International","Shop Sales",52.5,5.75
"Postcards - Geelong Aerial/11ge004","9/3/2013","2:36:04","SWITZERLAND",20,0.59,"International","Shop Sales",47,8
"Scarf - Nullarbor Long","3/11/2006","10:24:32","JAPAN",11,55,"International","Shop Sales",36,138
"Magnet/Therm/G'long Marina 454591","25/4/2014","12:20:42","MALAYSIA",12,5.41,"International","Shop Sales",2.5,112.5
"Card - Christmas Friends","11/11/2006","14:44:12","UNITED STATES",23,1.95,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","24/2/2015","11:16:38","UNITED KINGDOM",22,8.25,"International","Ticket Sales",54,-2
"Postcards/G O R / 5sc/ 11go193","26/11/2013","2:03:26","GERMANY",7,0.59,"International","Shop Sales",51,9
"%Nwm - Concess Admit","15/9/2012","10:43:27","NEW GUINEA",14,6,"International","Ticket Sales",NA,NA
"Tea Towel -2 Pk- Embroidered/Blue Wren","19/11/2011","4:14:56","UNITED KINGDOM",22,11.77,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","9/4/2011","13:05:56","FRANCE",6,5.9,"International","Ticket Sales",46,2
"Key Charm - Aussie Babies","13/2/2012","2:13:00","UNITED KINGDOM",22,7.23,"International","Shop Sales",54,-2
"Postcards - Geelong Aerial/11ge004","5/1/2011","12:46:13","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"Magnet/Nwm Pewter","21/3/2009","11:30:00","KATHERINE PRIVATE BOXES - NT",851,7.95,"International","Shop Sales",NA,NA
"%Nwm - Child Admit","17/3/2014","1:32:34","UNITED KINGDOM",22,4,"International","Ticket Sales",54,-2
"%Nwm - Concess Admit","24/5/2010","15:15:25","UNITED STATES",23,5.9,"International","Ticket Sales",38,-97
"%Nwm - Adult Admit","15/7/2013","4:03:52","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Keyring/Gold Assorted A344","13/10/2013","1:04:18","JAPAN",11,2.27,"International","Shop Sales",36,138
"Bay Walk Bollards/Guide Book","20/11/2014","5:09:23","DENMARK",5,9.05,"International","Shop Sales",56,10
"Postcard - Nrth/Carousel 1-10034","31/1/2011","15:26:09","CHINA",4,0.86,"International","Shop Sales",35,105
"%Nwm - Adult Admit","5/1/2007","13:50:28","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Card -  Quilled","22/11/2012","11:29:50","UNITED STATES",23,4.09,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","18/10/2006","12:19:25","CANADA",3,14.6,"International","Ticket Sales",60,-95
"Lanolin Skin Cream 250 G(H/W)","11/2/2013","4:45:59","DENMARK",5,9.05,"International","Shop Sales",56,10
"%Nwm - Concess Admit","28/11/2006","11:37:12","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"Postcard - Nwm Building 1","20/4/2011","13:50:44","CANADA",3,0.91,"International","Shop Sales",60,-95
"Socks-Nwm - Mens Taupe","4/9/2009","17:13:47","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"Postcards - Gor/Koala 11go160/Dno","15/2/2006","10:15:56","GERMANY",7,0.65,"International","Shop Sales",51,9
"%Nwm - Adult Admit","3/12/2011","2:33:49","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Kanga W Joey/Koa On Back/Rookoa","13/1/2007","10:20:46","SWITZERLAND",20,16.95,"International","Shop Sales",47,8
"Badge - Aust Flag 20-85951","23/12/2008","15:35:06","UNITED STATES",23,2.95,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","31/1/2010","14:41:32","AUSTRIA",2,5.9,"International","Ticket Sales",47.3333,13.3333
"Xmas/Ball/Kooka","5/1/2011","14:41:04","UNITED KINGDOM",22,16.32,"International","Shop Sales",54,-2
"Xmas Ornament/Kooka","30/8/2007","16:29:25","GERMANY",7,9.95,"International","Shop Sales",51,9
"Postcard/G'day From Australia/Pc024","27/2/2011","14:13:22","GERMANY",7,0.59,"International","Shop Sales",51,9
"T-Shirt/Boronia/M","21/8/2007","12:23:29","SWITZERLAND",20,131.85,"International","Shop Sales",47,8
"%Nwm - Adult Admit","28/9/2012","12:39:20","UNITED KINGDOM",22,7.5,"International","Ticket Sales",54,-2
"Postcardsclassic/Bay Of Islands/1401940","1/10/2007","12:26:14","UNITED KINGDOM",22,0.75,"International","Shop Sales",54,-2
"%Nwm - Family Adm(2+3)","9/2/2009","9:38:44","DENMARK",5,20,"International","Ticket Sales",56,10
"%Nwm - Concess Admit","6/6/2008","9:35:09","DENMARK",5,5.9,"International","Ticket Sales",56,10
"Postcards/G O R / 5sc/ 11go193","14/2/2014","10:43:52","ITALY",10,0.59,"International","Shop Sales",42.8333,12.8333
"Magnet - Sheep With Baa","4/5/2012","12:42:54","TAIWAN",21,7.23,"International","Shop Sales",23.5,121
"Jumper Men - Bl8511 V Argyle/Navy","7/8/2008","11:46:56","GERMANY",7,139.95,"International","Shop Sales",51,9
"Esperance Scuff/Chest 6m","23/7/2007","15:54:20","FRANCE",6,59.95,"International","Shop Sales",46,2
"Sticker - Geelong (Cs)","14/10/2010","10:03:34","JAPAN",11,2.68,"International","Shop Sales",36,138
"Postcards/Gor/Montage/Go158","22/7/2008","10:52:12","JAPAN",11,0.65,"International","Shop Sales",36,138
"Candle Holder - Glass/Sunrise Galah","18/12/2010","9:36:07","UNITED STATES",23,20.86,"International","Shop Sales",38,-97
"Tea Towel/Sheep/5efho (Every Family","16/7/2013","1:09:24","DENMARK",5,8.14,"International","Shop Sales",56,10
"%Nwm & Fdc - Adult","3/4/2008","12:19:53","JAPAN",11,23,"International","Ticket Sales",36,138
"Kids Storyfirst Facts/Kangaroos","1/4/2010","9:59:53","SWITZERLAND",20,4.5,"International","Shop Sales",47,8
"%Nwm - Child Admit","20/11/2010","15:17:17","CANADA",3,3.65,"International","Ticket Sales",60,-95
"%Nwm - Family Adm(2+2)","1/11/2008","12:06:08","GERMANY",7,20,"International","Ticket Sales",51,9
"Lanolin/Moisturising Cream/Placenta I627","10/12/2012","10:16:55","UNITED STATES",23,9.05,"International","Shop Sales",38,-97
"Magnet/Beanz/Koala","23/7/2007","13:14:18","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","29/1/2014","12:51:25","CHINA",4,7.5,"International","Ticket Sales",35,105
"Beanie/Homespun (Lc)","25/1/2010","12:18:21","SWITZERLAND",20,27.23,"International","Shop Sales",47,8
"%Nwm - Adult Admit","19/2/2008","11:31:21","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Postcards/Gor/11go159","21/1/2012","11:03:24","AUSTRIA",2,0.59,"International","Shop Sales",47.3333,13.3333
"Koala 6""","7/9/2006","15:24:28","CANADA",3,4.95,"International","Shop Sales",60,-95
"Postcard/Cunningham Pier/Geelong Aust","29/12/2011","10:24:39","SINGAPORE",17,0.59,"International","Shop Sales",1.3667,103.8
"Face Washer & Soap","18/1/2007","15:56:51","UNITED KINGDOM",22,19.95,"International","Shop Sales",54,-2
"Postcards/G O R/12 Apostle/11go153","9/1/2013","3:28:32","FRANCE",6,0.59,"International","Shop Sales",46,2
"Keyring - Sheep Wool Rozcraft","10/10/2010","16:01:36","JAPAN",11,4.5,"International","Shop Sales",36,138
"Cards/#10 Twisted Sisters","8/7/2012","2:08:15","NEW ZEALAND",15,3.59,"International","Shop Sales",-41,174
"Postcard/G'day From Australia/Pc024","28/3/2014","3:44:40","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Postcards/Geelong Sunset/11ge005","20/2/2008","16:42:36","DENMARK",5,0.65,"International","Shop Sales",56,10
"Postcard/Volunteer Rifle Band","25/6/2014","12:25:55","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Postcards/Classic/Geelong/4 1403095","14/1/2010","16:46:16","GERMANY",7,0.77,"International","Shop Sales",51,9
"%Nwm & Fdc - Adult","30/8/2006","10:54:42","NEW ZEALAND",15,11.5,"International","Ticket Sales",-41,174
"Kids Story/Cheeky Kookaburra","21/2/2013","2:26:09","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Magnet/Nwm Shaped Top","22/10/2008","12:49:05","ANULA - NT",812,4.95,"International","Shop Sales",NA,NA
"Gift Card - Kanga/Joe/Wattle","7/3/2012","10:40:34","CANADA",3,0.86,"International","Shop Sales",60,-95
"Koala/Koa181bb/1 Baby 18cm","6/12/2014","4:18:32","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","4/7/2014","11:42:02","HONG KONG",8,7.5,"International","Ticket Sales",22.25,114.1667
"Postcards/Geelong Marina/11ge002","7/11/2007","11:30:40","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"%Nwm & Fdc - Concession","11/4/2008","14:57:58","UNITED KINGDOM",22,8.5,"International","Ticket Sales",54,-2
"Postcard - Nwm Flower Sheep","18/11/2010","13:01:37","OTHER INTERNATIONAL",25,0.91,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","2/9/2013","2:17:20","TAIWAN",21,7.5,"International","Ticket Sales",23.5,121
"Postcards - Bollards Town Bath Club","4/3/2009","12:21:45","UNITED KINGDOM",22,1.5,"International","Shop Sales",54,-2
"Bookmark- Whimsies/Laughing Kookaburra","28/2/2012","10:18:49","DENMARK",5,3.55,"International","Shop Sales",56,10
"Postcards -Carousel/Nuc 11ge006","21/6/2010","13:08:54","HONG KONG",8,0.59,"International","Shop Sales",22.25,114.1667
"Promotion (1 for 1) - NWM Only","18/4/2007","11:33:21","UNITED STATES",23,0,"International","Shop Sales",38,-97
"Sock/Urban/Navy/7-11","20/2/2015","12:15:00","CHINA",4,16.36,"International","Shop Sales",35,105
"Tea Towel -2 Pk- Embroidered/Blue Wren","29/1/2015","11:57:29","UNITED KINGDOM",22,11.77,"International","Shop Sales",54,-2
"Pendant/Opal Chip/Oppe","30/3/2015","12:59:34","CHINA",4,4.5,"International","Shop Sales",35,105
"Backpack/Kids/Koala/Kanga/Bp Soft","25/2/2014","11:20:14","UNITED STATES",23,13.59,"International","Shop Sales",38,-97
"Postcards/G O R / 5sc/ 11go193","1/4/2013","1:28:27","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Postcards/Gor/11go159","2/3/2011","14:12:12","GERMANY",7,0.59,"International","Shop Sales",51,9
"Tie - Aust Tartan","2/2/2007","13:36:56","UNITED KINGDOM",22,39.95,"International","Shop Sales",54,-2
"Postcards/12 Apostles Story/11go121","14/3/2009","13:24:33","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Postcard - Corio Bay Nth 1-10023","21/2/2012","3:30:43","AUSTRIA",2,0.86,"International","Shop Sales",47.3333,13.3333
"%Nwm - Child Admit","26/8/2014","3:09:56","CHINA",4,4.5,"International","Ticket Sales",35,105
"%Nwm - Concess Admit","7/6/2006","11:34:04","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"Postcards/Geelong Marina/11ge002","8/1/2007","14:03:41","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Postcards/G O R/12 Apostle/11go153","21/4/2012","2:36:48","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","6/1/2006","9:56:10","CANADA",3,14.6,"International","Ticket Sales",60,-95
"Glove/Std/Charc/S","16/2/2009","15:47:02","JAPAN",11,35,"International","Shop Sales",36,138
"My Aussie Bush Adventure","18/2/2010","11:30:21","UNITED KINGDOM",22,13.59,"International","Shop Sales",54,-2
"Socks - Mens Navy Sz 7-11 Swn 1","21/12/2012","3:28:24","CANADA",3,16.32,"International","Shop Sales",60,-95
"Platter/Sq/Aussie Safari","25/2/2014","1:24:44","UNITED STATES",23,31.77,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","20/3/2008","12:34:52","SWITZERLAND",20,5.9,"International","Ticket Sales",47,8
"%Nwm - Adult Admit","15/1/2015","3:18:36","TAIWAN",21,8.25,"International","Ticket Sales",23.5,121
"Postcards/Geelong Marina/11ge002","22/12/2014","3:00:22","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","14/2/2010","13:55:39","CHINA",4,7.3,"International","Ticket Sales",35,105
"Scarf - Cream/Purple Loopy 46/3","24/11/2009","15:24:20","UNITED STATES",23,71.82,"International","Shop Sales",38,-97
"Vest/Wool P'work/Blk/Greys/12 (Cons)","6/2/2014","12:23:57","GERMANY",7,117.27,"International","Shop Sales",51,9
"Postcards/Eastern Beach/11ge003/Dno","21/2/2012","4:11:09","NETHERLANDS",13,0.59,"International","Shop Sales",52.5,5.75
"%Nwm - Child Admit","20/7/2009","14:15:12","CANADA",3,3.65,"International","Ticket Sales",60,-95
"Bay Walk Bollards/Guide Book","21/10/2012","12:21:32","NEW ZEALAND",15,9.05,"International","Shop Sales",-41,174
"Ram/Mcarthur Small","1/11/2009","13:11:04","UNITED KINGDOM",22,13.59,"International","Shop Sales",54,-2
"Postcard/Australia Kanga170","17/11/2011","12:25:25","CANADA",3,0.59,"International","Shop Sales",60,-95
"Pencil Sharpener - Spinning Wheel","9/8/2005","15:16:07","CANADA",3,3.95,"International","Shop Sales",60,-95
"Soap- Natural Blue Wren 100gm","5/7/2011","17:03:04","UNITED STATES",23,7,"International","Shop Sales",38,-97
"Pin/Pewter/Bollards/Lifesavers","4/1/2015","11:10:34","OTHER INTERNATIONAL",25,5.41,"International","Shop Sales",NA,NA
"Postcard - Nwm Building 1","4/6/2010","10:02:02","NETHERLANDS",13,0.91,"International","Shop Sales",52.5,5.75
"Xmas/Clo/Kanga R","13/2/2013","2:07:50","UNITED STATES",23,18.14,"International","Shop Sales",38,-97
"Hat/Mens/Assort/W118","21/8/2012","12:00:48","JAPAN",11,31.82,"International","Shop Sales",36,138
"Pen/Nwm /Blue Barrel","20/1/2015","4:37:41","UNITED KINGDOM",22,2.27,"International","Shop Sales",54,-2
"Eraser - Nwm","16/4/2010","14:30:34","CHINA",4,0.68,"International","Shop Sales",35,105
"Gift Card - Whimsies/Laughing Kookaburra","6/12/2007","14:49:01","UNITED KINGDOM",22,1.25,"International","Shop Sales",54,-2
"Eden/Mush/8w","26/2/2015","3:47:34","UNITED STATES",23,80.91,"International","Shop Sales",38,-97
"Knitting Bag - assorted motif","27/10/2005","9:52:44","UNITED STATES",23,19.95,"International","Shop Sales",38,-97
"Walking Tour Got","31/8/2006","10:00:46","OTHER INTERNATIONAL",25,7,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","14/1/2008","9:27:46","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Handtowel - Embroidered","7/9/2006","12:44:31","UNITED KINGDOM",22,16.95,"International","Shop Sales",54,-2
"Postcards/Classic/Geelong/4 1403095","2/8/2008","16:11:26","JAPAN",11,0.85,"International","Shop Sales",36,138
"Eraser - Nwm","24/7/2007","14:58:08","JAPAN",11,1.5,"International","Shop Sales",36,138
"Blanket - Cot/Marshmallow","8/3/2013","11:19:30","CHINA",4,86.36,"International","Shop Sales",35,105
"Card - Blue Wren (J Boot)","10/1/2012","12:05:56","UNITED KINGDOM",22,5.41,"International","Shop Sales",54,-2
"Keyring Sheep - Jimmy","23/9/2007","12:20:27","CANADA",3,5.95,"International","Shop Sales",60,-95
"Lanolin Lip Balm -  Wh","21/6/2011","15:45:50","GERMANY",7,21.68,"International","Shop Sales",51,9
"Tray/Scatter/Kookaburras/89092","27/10/2013","2:54:17","MALAYSIA",12,4.5,"International","Shop Sales",2.5,112.5
"Jigsaw Puzzle  - Great Ocean Road 50x35","19/3/2010","14:38:10","UNITED STATES",23,20.86,"International","Shop Sales",38,-97
"Postcard/Rippleside Swimming Club","2/5/2012","11:45:18","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Cap/Brush Cotton/A","28/2/2013","1:10:10","OTHER INTERNATIONAL",25,6.32,"International","Shop Sales",NA,NA
"Family Adult - NWM Only","22/4/2013","4:28:22","MALAYSIA",12,0,"International","Shop Sales",2.5,112.5
"%Nwm - Child Admit","12/8/2008","11:52:14","MALAYSIA",12,3.65,"International","Ticket Sales",2.5,112.5
"Postcards - Bollards Sail Captain","13/2/2008","16:40:44","UNITED KINGDOM",22,1.5,"International","Shop Sales",54,-2
"Postcards/Classic/Geelong/3 1403094","22/10/2008","10:40:43","UNITED KINGDOM",22,0.85,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","2/2/2014","3:32:06","CHINA",4,7.5,"International","Ticket Sales",35,105
"Postcards Great Ocean Rd/Alc","8/6/2014","10:07:27","TAIWAN",21,0.68,"International","Shop Sales",23.5,121
"Postcards/4 Scene Geelong/11ge001/Dno","13/1/2006","11:56:58","OTHER INTERNATIONAL",25,0.65,"International","Shop Sales",NA,NA
"Tray/Scatter/Crimson Cous/89092","4/11/2012","2:21:45","UNITED KINGDOM",22,5.41,"International","Shop Sales",54,-2
"Ram/Mcarthur Small","25/2/2014","12:30:18","UNITED STATES",23,13.59,"International","Shop Sales",38,-97
"Lanolin/Cream Vit E Crm/Aus-Day","30/8/2005","14:35:43","SINGAPORE",17,7.95,"International","Shop Sales",1.3667,103.8
"Banksia Nut/T Light/Single/Lge/Hollow","21/12/2014","11:59:37","UNITED STATES",23,36.32,"International","Shop Sales",38,-97
"Roadsign/Kanga Crossing/Suction/Rssw","4/12/2012","4:57:48","NETHERLANDS",13,2.27,"International","Shop Sales",52.5,5.75
"Postcard/Sailor & Woman","8/6/2014","12:32:30","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"%Nwm - Adult Admit","17/3/2008","11:37:01","GERMANY",7,7.3,"International","Ticket Sales",51,9
"%Nwm - Concess Admit","15/12/2010","11:00:40","OTHER INTERNATIONAL",25,5.9,"International","Ticket Sales",NA,NA
"%Nwm - Concess Admit","2/10/2006","10:01:06","SWITZERLAND",20,5.9,"International","Ticket Sales",47,8
"Bookmark Card Boomerang Koala And Baby","16/6/2006","12:35:14","NETHERLANDS",13,2.5,"International","Shop Sales",52.5,5.75
"Postcards/Gor/Montage/Go158","13/10/2011","10:23:01","OTHER INTERNATIONAL",25,0.59,"International","Shop Sales",NA,NA
"Bookmark/Gold Plated/Kookaburra","22/3/2012","3:31:47","TAIWAN",21,9.05,"International","Shop Sales",23.5,121
"Postcardsclassic/Bay Of Islands/1401940","15/11/2005","15:42:45","NETHERLANDS",13,0.75,"International","Shop Sales",52.5,5.75
"Postcards/Geelong Marina/11ge002","9/10/2006","15:54:56","NEW ZEALAND",15,0.65,"International","Shop Sales",-41,174
"Pencil/Kangaroo (B/Brush)","28/6/2008","13:34:13","UNITED KINGDOM",22,7.95,"International","Shop Sales",54,-2
"Postcards-Apostle Sunset 11go166","17/9/2005","15:21:00","GERMANY",7,0.65,"International","Shop Sales",51,9
"Postcards/Geelong Sunset/11ge005","9/1/2015","10:20:08","GERMANY",7,0.59,"International","Shop Sales",51,9
"%Nwm - Adult Admit","14/3/2012","2:57:20","NEW ZEALAND",15,7.5,"International","Ticket Sales",-41,174
"Postcard/Sailor & Woman","22/3/2015","2:48:26","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Glove/Poss/Stripe/Nx372/Berry/M","13/4/2011","16:31:36","GERMANY",7,31.82,"International","Shop Sales",51,9
"Postcards/Gor/11go159","19/10/2011","10:49:48","GERMANY",7,0.59,"International","Shop Sales",51,9
"Postcards/Gor/11go159","21/7/2007","12:47:19","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Promotion (1 for 1) - NWM Only","15/1/2008","9:59:43","DENMARK",5,0,"International","Shop Sales",56,10
"Mail-It-Map","22/2/2008","12:35:00","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Postcards/G O R/12 Apostle/11go153","20/9/2011","16:15:32","GERMANY",7,0.59,"International","Shop Sales",51,9
"Lanolin/Papillon Cream/100g","3/11/2006","9:54:14","JAPAN",11,4.95,"International","Shop Sales",36,138
"Postcards - Gor/Koala 11go160/Dno","1/6/2007","17:10:55","GERMANY",7,0.65,"International","Shop Sales",51,9
